#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999998E-01,1.129589E-07,3.907367E-08,4.450201E-08,3.765232E-08,1.401680E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,3.705708E-08,4.268861E-09,4.164740E-09,3.583302E-09,1.033078E-09
26,pre1919rota,12.98694,42.32417,9.999998E-01,1.078831E-07,3.718493E-08,4.221017E-08,3.548821E-08,1.303220E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,3.511323E-08,4.025168E-09,3.917447E-09,3.355324E-09,9.582525E-10
43,pre1919rota,13.02028,42.24056,9.999997E-01,1.400099E-07,4.931015E-08,5.710122E-08,4.983344E-08,1.977873E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,4.780802E-08,5.640862E-09,5.568148E-09,4.894617E-09,1.473626E-09
21,pre1919rota,13.02306,42.39472,9.999998E-01,9.941723E-08,3.405742E-08,3.843845E-08,3.196307E-08,1.145558E-08
199,post1981rota,13.02306,42.39472,9.999999E-01,3.192164E-08,3.628147E-09,3.515968E-09,2.987390E-09,8.387357E-10
31,pre1919rota,13.04611,42.22750,9.999996E-01,1.545186E-07,5.491925E-08,6.413073E-08,5.683758E-08,2.327405E-08
209,post1981rota,13.04611,42.22750,9.999999E-01,5.386704E-08,6.432356E-09,6.386470E-09,5.673550E-09,1.744538E-09
32,pre1919rota,13.05556,42.45222,9.999998E-01,9.073784E-08,3.088318E-08,3.464648E-08,2.848405E-08,9.966808E-09
210,post1981rota,13.05556,42.45222,9.999999E-01,2.873655E-08,3.237954E-09,3.124462E-09,2.633864E-09,7.275129E-10
18,pre1919rota,13.05972,42.40750,9.999998E-01,1.046558E-07,3.598932E-08,4.076484E-08,3.413196E-08,1.242156E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,3.388912E-08,3.872432E-09,3.762787E-09,3.213258E-09,9.119180E-10
37,pre1919rota,13.06861,42.29611,9.999997E-01,1.435324E-07,5.066424E-08,5.878985E-08,5.150122E-08,2.059501E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,4.925761E-08,5.828835E-09,5.761789E-09,5.077698E-09,1.536381E-09
14,pre1919rota,13.07944,42.41806,9.999998E-01,1.061190E-07,3.653087E-08,4.141898E-08,3.474496E-08,1.269694E-08
192,post1981rota,13.07944,42.41806,9.999999E-01,3.444297E-08,3.941467E-09,3.832660E-09,3.277391E-09,9.328063E-10
27,pre1919rota,13.12639,42.26611,9.999996E-01,1.799629E-07,6.496253E-08,7.694747E-08,7.003115E-08,3.035642E-08
205,post1981rota,13.12639,42.26611,9.999999E-01,6.510342E-08,7.941044E-09,7.967653E-09,7.217097E-09,2.311118E-09
36,pre1919rota,13.14611,42.21056,9.999995E-01,2.133934E-07,7.856895E-08,9.475386E-08,8.911867E-08,4.130525E-08
214,post1981rota,13.14611,42.21056,9.999999E-01,8.099470E-08,1.014077E-08,1.030444E-08,9.550367E-09,3.201503E-09
141,pre1919rota,13.20750,42.10306,9.999992E-01,3.042892E-07,1.182378E-07,1.496816E-07,1.536326E-07,8.521742E-08
