#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, kind='rlz-376', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,3.852965E-06,3.727350E-06,3.508275E-06,3.172035E-06,2.717866E-06,2.177986E-06,1.613192E-06,1.093199E-06,6.718735E-07,3.714387E-07,1.829039E-07,7.878292E-08,2.817878E-08,6.535188E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,3.841864E-06,3.706736E-06,3.474632E-06,3.123779E-06,2.657035E-06,2.110592E-06,1.547570E-06,1.037044E-06,6.296402E-07,3.435235E-07,1.666877E-07,7.050393E-08,2.446405E-08,5.070315E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,3.884211E-06,3.787297E-06,3.609374E-06,3.321913E-06,2.913183E-06,2.401730E-06,1.838498E-06,1.292636E-06,8.270577E-07,4.775839E-07,2.467248E-07,1.125144E-07,4.385059E-08,1.293566E-08,6.866634E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,3.824200E-06,3.674547E-06,3.423080E-06,3.051216E-06,2.567268E-06,2.012992E-06,1.454307E-06,9.587186E-07,5.718271E-07,3.060192E-07,1.453048E-07,5.978916E-08,1.974526E-08,3.243864E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,3.896372E-06,3.811565E-06,3.651938E-06,3.387525E-06,3.002076E-06,2.507580E-06,1.949275E-06,1.394528E-06,9.094272E-07,5.361074E-07,2.832701E-07,1.325715E-07,5.352531E-08,1.703719E-08,2.214899E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,3.808562E-06,3.646613E-06,3.379224E-06,2.990705E-06,2.493889E-06,1.934788E-06,1.381057E-06,8.984185E-07,5.282006E-07,2.782792E-07,1.298029E-07,5.217553E-08,1.645886E-08,1.997125E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,3.833572E-06,3.691536E-06,3.450146E-06,3.089112E-06,2.613900E-06,2.063422E-06,1.502238E-06,9.987555E-07,6.012186E-07,3.249819E-07,1.560570E-07,6.514728E-08,2.209189E-08,4.147086E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,3.882997E-06,3.784906E-06,3.605238E-06,3.315623E-06,2.904776E-06,2.391856E-06,1.828305E-06,1.283389E-06,8.196851E-07,4.724180E-07,2.435436E-07,1.107928E-07,4.303173E-08,1.259337E-08,5.609216E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,3.836365E-06,3.696637E-06,3.458334E-06,3.100663E-06,2.628221E-06,2.079027E-06,1.517181E-06,1.011331E-06,6.105197E-07,3.310278E-07,1.595108E-07,6.688128E-08,2.285699E-08,4.443769E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,3.908937E-06,3.837348E-06,3.698437E-06,3.461230E-06,3.104758E-06,2.633310E-06,2.084586E-06,1.522517E-06,1.015833E-06,6.138574E-07,3.332025E-07,1.607562E-07,6.750801E-08,2.313418E-08,4.551517E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
