#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, kind='rlz-323', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,4.500113E-06,4.478799E-06,4.427951E-06,4.321199E-06,4.123970E-06,3.803286E-06,3.344416E-06,2.766568E-06,2.126167E-06,1.501566E-06,9.654383E-07,5.604468E-07,2.912104E-07,1.336927E-07,5.259150E-08,1.584432E-08,1.191778E-09,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,4.499911E-06,4.478281E-06,4.426782E-06,4.318882E-06,4.119934E-06,3.797108E-06,3.336105E-06,2.756741E-06,2.115958E-06,1.492243E-06,9.579561E-07,5.551697E-07,2.879393E-07,1.319108E-07,5.173839E-08,1.548537E-08,1.059048E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,4.505392E-06,4.494333E-06,4.464328E-06,4.396107E-06,4.259603E-06,4.019236E-06,3.646751E-06,3.138762E-06,2.529070E-06,1.885077E-06,1.286436E-06,7.966985E-07,4.441056E-07,2.207008E-07,9.612976E-08,3.500132E-08,8.603651E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,4.497522E-06,4.472225E-06,4.413292E-06,4.292473E-06,4.074492E-06,3.728388E-06,3.244770E-06,2.650052E-06,2.006426E-06,1.393413E-06,8.795833E-07,5.005468E-07,2.544803E-07,1.138980E-07,4.321560E-08,1.194122E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,4.505392E-06,4.499280E-06,4.476669E-06,4.423163E-06,4.311740E-06,4.107545E-06,3.778222E-06,3.310803E-06,2.726950E-06,2.085130E-06,1.464207E-06,9.355489E-07,5.394305E-07,2.782232E-07,1.266396E-07,4.922506E-08,1.443219E-08,6.711943E-10,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,4.492935E-06,4.460925E-06,4.388824E-06,4.245906E-06,3.996597E-06,3.613863E-06,3.096774E-06,2.481958E-06,1.838619E-06,1.246174E-06,7.660324E-07,4.235783E-07,2.086249E-07,8.988628E-08,3.216438E-08,7.470761E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,4.499709E-06,4.477763E-06,4.425616E-06,4.316577E-06,4.115927E-06,3.790988E-06,3.327889E-06,2.747047E-06,2.105905E-06,1.483082E-06,9.506191E-07,5.500053E-07,2.847447E-07,1.301740E-07,5.090859E-08,1.513694E-08,9.304664E-10,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,4.505392E-06,4.499456E-06,4.477116E-06,4.424166E-06,4.313715E-06,4.110962E-06,3.783420E-06,3.317751E-06,2.735113E-06,2.093558E-06,1.471855E-06,9.416474E-07,5.437045E-07,2.808557E-07,1.280646E-07,4.990297E-08,1.471562E-08,7.753358E-10,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,4.500214E-06,4.479058E-06,4.428536E-06,4.322361E-06,4.125996E-06,3.806393E-06,3.348602E-06,2.771524E-06,2.131325E-06,1.506283E-06,9.692299E-07,5.631251E-07,2.928730E-07,1.345999E-07,5.302646E-08,1.602761E-08,1.259660E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,4.505392E-06,4.505392E-06,4.497778E-06,4.472867E-06,4.414709E-06,4.295220E-06,4.079174E-06,3.735400E-06,3.253998E-06,2.660726E-06,2.017276E-06,1.403106E-06,8.871941E-07,5.057985E-07,2.576650E-07,1.155953E-07,4.401059E-08,1.226847E-08,0.000000E+00,0.000000E+00
13.14611,42.21056,0.00000,4.505392E-06,4.505392E-06,4.503178E-06,4.486809E-06,4.446346E-06,4.358331E-06,4.189848E-06,3.906018E-06,3.485223E-06,2.936198E-06,2.305783E-06,1.668730E-06,1.102179E-06,6.587611E-07,3.533392E-07,1.682015E-07,6.943858E-08,2.307334E-08,3.918205E-09,0.000000E+00
13.20750,42.10306,0.00000,4.505392E-06,4.505392E-06,4.501539E-06,4.482488E-06,4.436341E-06,4.337972E-06,4.153437E-06,3.848785E-06,3.406157E-06,2.840201E-06,2.203345E-06,1.572660E-06,1.022995E-06,6.013996E-07,3.168192E-07,1.477667E-07,5.938928E-08,1.872993E-08,2.268322E-09,0.000000E+00
13.23556,42.19444,0.00000,4.505392E-06,4.505392E-06,4.505392E-06,4.505392E-06,4.494229E-06,4.464076E-06,4.395565E-06,4.258580E-06,4.017538E-06,3.644273E-06,3.135585E-06,2.525489E-06,1.881530E-06,1.283349E-06,7.943369E-07,4.425179E-07,2.197628E-07,9.564264E-08,3.477902E-08,8.514493E-09
13.25167,42.07028,0.00000,4.505392E-06,4.505392E-06,4.500733E-06,4.480396E-06,4.431569E-06,4.328401E-06,4.136566E-06,3.822649E-06,3.370575E-06,2.797626E-06,2.158577E-06,1.531287E-06,9.893922E-07,5.774137E-07,3.017723E-07,1.394710E-07,5.536973E-08,1.701828E-08,1.627743E-09,0.000000E+00
13.25583,42.37417,0.00000,4.505392E-06,4.505392E-06,4.499856E-06,4.478140E-06,4.426467E-06,4.318259E-06,4.118850E-06,3.795451E-06,3.333879E-06,2.754113E-06,2.113229E-06,1.489755E-06,9.559620E-07,5.537651E-07,2.870698E-07,1.314378E-07,5.151221E-08,1.539033E-08,1.023948E-09,0.000000E+00
13.28306,42.00667,0.00000,4.505392E-06,4.505392E-06,4.493961E-06,4.463419E-06,4.394155E-06,4.255920E-06,4.013127E-06,3.637846E-06,3.127354E-06,2.516225E-06,1.872366E-06,1.275383E-06,7.882507E-07,4.384314E-07,2.173514E-07,9.439210E-08,3.420906E-08,8.286196E-09,0.000000E+00,0.000000E+00
13.30194,42.29056,0.00000,4.505392E-06,4.505392E-06,4.505392E-06,4.505392E-06,4.496052E-06,4.468561E-06,4.405267E-06,4.277023E-06,4.048351E-06,3.689516E-06,3.193969E-06,2.591704E-06,1.947529E-06,1.341164E-06,8.388466E-07,4.726337E-07,2.376709E-07,1.050016E-07,3.907761E-08,1.024967E-08
13.33528,41.98917,0.00000,4.505392E-06,4.505392E-06,4.495935E-06,4.468272E-06,4.404636E-06,4.275817E-06,4.046322E-06,3.686519E-06,3.190077E-06,2.587262E-06,1.943074E-06,1.337237E-06,8.358045E-07,4.705625E-07,2.364317E-07,1.043500E-07,3.877646E-08,1.012735E-08,0.000000E+00,0.000000E+00
