#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999996E-01,1.961499E-07,6.632714E-08,7.399587E-08,6.028014E-08,2.084379E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,6.143414E-08,6.878092E-09,6.619154E-09,5.556559E-09,1.526956E-09
26,pre1919rota,12.98694,42.32417,9.999996E-01,1.856330E-07,6.255861E-08,6.957024E-08,5.633250E-08,1.923125E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,5.773014E-08,6.433969E-09,6.177804E-09,5.164489E-09,1.407136E-09
43,pre1919rota,13.02028,42.24056,9.999995E-01,2.539659E-07,8.734926E-08,9.899894E-08,8.308018E-08,3.055789E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,8.245163E-08,9.442122E-09,9.188088E-09,7.872288E-09,2.255645E-09
21,pre1919rota,13.02306,42.39472,9.999996E-01,1.683355E-07,5.640650E-08,6.239677E-08,5.002148E-08,1.672811E-08
199,post1981rota,13.02306,42.39472,9.999999E-01,5.174919E-08,5.724412E-09,5.476376E-09,4.547362E-09,1.222136E-09
31,pre1919rota,13.04611,42.22750,9.999993E-01,2.861231E-07,9.926529E-08,1.134095E-07,9.661470E-08,3.667201E-08
209,post1981rota,13.04611,42.22750,9.999999E-01,9.466502E-08,1.096733E-08,1.073338E-08,9.293537E-09,2.721083E-09
32,pre1919rota,13.05556,42.45222,9.999997E-01,1.509651E-07,5.027865E-08,5.530281E-08,4.385874E-08,1.433919E-08
210,post1981rota,13.05556,42.45222,9.999999E-01,4.584452E-08,5.030564E-09,4.793523E-09,3.951244E-09,1.046001E-09
18,pre1919rota,13.05972,42.40750,9.999996E-01,1.790029E-07,6.019334E-08,6.680408E-08,5.388448E-08,1.824739E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,5.541973E-08,6.158612E-09,5.904973E-09,4.923416E-09,1.334231E-09
37,pre1919rota,13.06861,42.29611,9.999994E-01,2.616967E-07,9.019990E-08,1.024319E-07,8.628221E-08,3.198797E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,8.535694E-08,9.803039E-09,9.552898E-09,8.206484E-09,2.364337E-09
14,pre1919rota,13.07944,42.41806,9.999996E-01,1.820041E-07,6.126228E-08,6.805195E-08,5.498424E-08,1.868457E-08
