#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999998E-01,9.307765E-08,3.219652E-08,3.666946E-08,3.102534E-08,1.154978E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,3.053487E-08,3.517522E-09,3.431727E-09,2.952625E-09,8.512514E-10
26,pre1919rota,12.98694,42.32417,9.999998E-01,8.889518E-08,3.064021E-08,3.478099E-08,2.924213E-08,1.073847E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,2.893314E-08,3.316720E-09,3.227959E-09,2.764772E-09,7.895957E-10
43,pre1919rota,13.02028,42.24056,9.999998E-01,1.153676E-07,4.063134E-08,4.705115E-08,4.106253E-08,1.629759E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,3.939359E-08,4.648045E-09,4.588129E-09,4.033143E-09,1.214261E-09
21,pre1919rota,13.02306,42.39472,9.999998E-01,8.191935E-08,2.806316E-08,3.167311E-08,2.633742E-08,9.439349E-09
199,post1981rota,13.02306,42.39472,9.999999E-01,2.630329E-08,2.989577E-09,2.897142E-09,2.461596E-09,6.911145E-10
31,pre1919rota,13.04611,42.22750,9.999997E-01,1.273227E-07,4.525322E-08,5.284343E-08,4.683391E-08,1.917771E-08
209,post1981rota,13.04611,42.22750,9.999999E-01,4.438619E-08,5.300232E-09,5.262422E-09,4.674979E-09,1.437491E-09
32,pre1919rota,13.05556,42.45222,9.999998E-01,7.476756E-08,2.544760E-08,2.854854E-08,2.347073E-08,8.212605E-09
210,post1981rota,13.05556,42.45222,9.999999E-01,2.367879E-08,2.668060E-09,2.574543E-09,2.170292E-09,5.994674E-10
18,pre1919rota,13.05972,42.40750,9.999998E-01,8.623588E-08,2.965503E-08,3.359004E-08,2.812458E-08,1.023531E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,2.792448E-08,3.190867E-09,3.100519E-09,2.647710E-09,7.514163E-10
37,pre1919rota,13.06861,42.29611,9.999998E-01,1.182701E-07,4.174711E-08,4.844257E-08,4.243677E-08,1.697019E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,4.058805E-08,4.802934E-09,4.747688E-09,4.184001E-09,1.265971E-09
14,pre1919rota,13.07944,42.41806,9.999998E-01,8.744155E-08,3.010127E-08,3.412905E-08,2.862969E-08,1.046222E-08
192,post1981rota,13.07944,42.41806,9.999999E-01,2.838085E-08,3.247751E-09,3.158094E-09,2.700555E-09,7.686282E-10
27,pre1919rota,13.12639,42.26611,9.999996E-01,1.482887E-07,5.352883E-08,6.340437E-08,5.770535E-08,2.501356E-08
