#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999942E-01,2.074593E-06,8.270110E-07,1.071277E-06,1.145760E-06,6.932565E-07
208,post1981rota,12.96694,42.27389,9.999985E-01,9.745138E-07,1.355168E-07,1.449119E-07,1.473305E-07,5.962620E-08
26,pre1919rota,12.98694,42.32417,9.999942E-01,2.067121E-06,8.233666E-07,1.065790E-06,1.138449E-06,6.870403E-07
204,post1981rota,12.98694,42.32417,9.999986E-01,9.687701E-07,1.345780E-07,1.438356E-07,1.461041E-07,5.902157E-08
43,pre1919rota,13.02028,42.24056,9.999930E-01,2.356399E-06,9.705292E-07,1.294048E-06,1.455975E-06,9.774469E-07
221,post1981rota,13.02028,42.24056,9.999981E-01,1.217694E-06,1.765202E-07,1.925722E-07,2.029407E-07,8.830200E-08
21,pre1919rota,13.02306,42.39472,9.999945E-01,1.985972E-06,7.842360E-07,1.007367E-06,1.061534E-06,6.230258E-07
199,post1981rota,13.02306,42.39472,9.999986E-01,9.082847E-07,1.247780E-07,1.326467E-07,1.334418E-07,5.286209E-08
31,pre1919rota,13.04611,42.22750,9.999923E-01,2.484562E-06,1.040708E-06,1.408377E-06,1.626100E-06,1.151268E-06
209,post1981rota,13.04611,42.22750,9.999979E-01,1.351292E-06,2.000776E-07,2.205043E-07,2.366473E-07,1.068280E-07
32,pre1919rota,13.05556,42.45222,9.999950E-01,1.858183E-06,7.241690E-07,9.193483E-07,9.488099E-07,5.336065E-07
210,post1981rota,13.05556,42.45222,9.999988E-01,8.193247E-07,1.106532E-07,1.166667E-07,1.156392E-07,4.446176E-08
18,pre1919rota,13.05972,42.40750,9.999942E-01,2.059750E-06,8.197781E-07,1.060396E-06,1.131275E-06,6.809608E-07
196,post1981rota,13.05972,42.40750,9.999986E-01,9.631329E-07,1.336578E-07,1.427814E-07,1.449041E-07,5.843104E-08
37,pre1919rota,13.06861,42.29611,9.999923E-01,2.489685E-06,1.043595E-06,1.413168E-06,1.633406E-06,1.159041E-06
215,post1981rota,13.06861,42.29611,9.999979E-01,1.357044E-06,2.011083E-07,2.217352E-07,2.381512E-07,1.076750E-07
14,pre1919rota,13.07944,42.41806,9.999942E-01,2.078361E-06,8.288519E-07,1.074051E-06,1.149463E-06,6.964129E-07
