#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999996E-01,2.017470E-07,6.045025E-08,6.031556E-08,3.981110E-08,8.931964E-09
208,post1981rota,12.96694,42.27389,9.999999E-01,5.139306E-08,4.952272E-09,4.429529E-09,3.249770E-09,6.777583E-10
26,pre1919rota,12.98694,42.32417,9.999996E-01,1.797709E-07,5.371625E-08,5.346304E-08,3.512610E-08,7.809331E-09
204,post1981rota,12.98694,42.32417,9.999999E-01,4.562737E-08,4.382989E-09,3.914509E-09,2.864164E-09,5.940946E-10
43,pre1919rota,13.02028,42.24056,9.999993E-01,3.552444E-07,1.081157E-07,1.094118E-07,7.414705E-08,1.754558E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,9.247540E-08,9.072549E-09,8.185303E-09,6.100931E-09,1.314001E-09
21,pre1919rota,13.02306,42.39472,9.999997E-01,1.551989E-07,4.623773E-08,4.590066E-08,3.001730E-08,6.615264E-09
199,post1981rota,13.02306,42.39472,9.999999E-01,3.924555E-08,3.757966E-09,3.351298E-09,2.445551E-09,5.046342E-10
31,pre1919rota,13.04611,42.22750,9.999991E-01,4.615679E-07,1.415119E-07,1.441750E-07,9.894324E-08,2.401367E-08
209,post1981rota,13.04611,42.22750,9.999998E-01,1.214498E-07,1.201820E-08,1.088799E-08,8.177252E-09,1.788497E-09
32,pre1919rota,13.05556,42.45222,9.999998E-01,1.292319E-07,3.833681E-08,3.791274E-08,2.462258E-08,5.354789E-09
210,post1981rota,13.05556,42.45222,9.999999E-01,3.250313E-08,3.097782E-09,2.756457E-09,2.003493E-09,4.101838E-10
18,pre1919rota,13.05972,42.40750,9.999996E-01,1.827596E-07,5.464410E-08,5.441732E-08,3.578978E-08,7.972404E-09
196,post1981rota,13.05972,42.40750,9.999999E-01,4.642385E-08,4.462609E-09,3.986925E-09,2.918866E-09,6.061400E-10
37,pre1919rota,13.06861,42.29611,9.999993E-01,3.829350E-07,1.167850E-07,1.184097E-07,8.053168E-08,1.919504E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,9.998450E-08,9.833168E-09,8.881988E-09,6.634523E-09,1.435229E-09
14,pre1919rota,13.07944,42.41806,9.999996E-01,1.931932E-07,5.783552E-08,5.765934E-08,3.799874E-08,8.497643E-09
192,post1981rota,13.07944,42.41806,9.999999E-01,4.915334E-08,4.731488E-09,4.229893E-09,3.100381E-09,6.453351E-10
27,pre1919rota,13.12639,42.26611,9.999987E-01,7.017085E-07,2.175437E-07,2.239417E-07,1.567423E-07,3.963243E-08
205,post1981rota,13.12639,42.26611,9.999998E-01,1.878539E-07,1.884265E-08,1.718404E-08,1.306488E-08,2.930815E-09
36,pre1919rota,13.14611,42.21056,9.999979E-01,1.121448E-06,3.522504E-07,3.671468E-07,2.632687E-07,7.010813E-08
214,post1981rota,13.14611,42.21056,9.999996E-01,3.068960E-07,3.130238E-08,2.878502E-08,2.222715E-08,5.150944E-09
141,pre1919rota,13.20750,42.10306,9.999939E-01,3.017727E-06,9.759957E-07,1.046134E-06,7.925650E-07,2.382331E-07
319,post1981rota,13.20750,42.10306,9.999989E-01,8.713645E-07,9.243782E-08,8.669681E-08,6.947794E-08,1.742379E-08
17,pre1919rota,13.23556,42.19444,9.999948E-01,2.625708E-06,8.445984E-07,9.006203E-07,6.754568E-07,1.985727E-07
195,post1981rota,13.23556,42.19444,9.999990E-01,7.504026E-07,7.902120E-08,7.384015E-08,5.876518E-08,1.452158E-08
151,pre1919rota,13.25167,42.07028,9.999899E-01,4.936993E-06,1.624425E-06,1.769810E-06,1.384220E-06,4.465672E-07
329,post1981rota,13.25167,42.07028,9.999980E-01,1.474475E-06,1.601666E-07,1.520197E-07,1.245954E-07,3.278584E-08
147,pre1919rota,13.25583,42.37417,9.999984E-01,8.225170E-07,2.563324E-07,2.651733E-07,1.873729E-07,4.833979E-08
325,post1981rota,13.25583,42.37417,9.999997E-01,2.220828E-07,2.242243E-08,2.051495E-08,1.569152E-08,3.564495E-09
79,pre1919rota,13.28306,42.00667,9.999864E-01,6.540829E-06,2.176279E-06,2.396129E-06,1.912586E-06,6.452348E-07
257,post1981rota,13.28306,42.00667,9.999974E-01,1.998194E-06,2.204238E-07,2.108334E-07,1.753244E-07,4.758083E-08
153,pre1919rota,13.30194,42.29056,9.999954E-01,2.307309E-06,7.398414E-07,7.865564E-07,5.864795E-07,1.702424E-07
331,post1981rota,13.30194,42.29056,9.999992E-01,6.555592E-07,6.874298E-08,6.410063E-08,5.081310E-08,1.245264E-08
84,pre1919rota,13.33528,41.98917,9.999775E-01,1.044462E-05,3.546565E-06,3.980257E-06,3.295997E-06,1.205287E-06
262,post1981rota,13.33528,41.98917,9.999955E-01,3.331283E-06,3.780460E-07,3.667727E-07,3.132392E-07,8.996057E-08
107,pre1919rota,13.33917,42.29194,9.999940E-01,2.973787E-06,9.612579E-07,1.029799E-06,7.793888E-07,2.337318E-07
285,post1981rota,13.33917,42.29194,9.999989E-01,8.577716E-07,9.092710E-08,8.524735E-08,6.826689E-08,1.709321E-08
148,pre1919rota,13.34278,42.06639,9.999727E-01,1.253147E-05,4.292290E-06,4.856330E-06,4.083561E-06,1.543021E-06
326,post1981rota,13.34278,42.06639,9.999945E-01,4.072867E-06,4.677565E-07,4.565089E-07,3.942029E-07,1.158582E-07
108,pre1919rota,13.36222,42.09444,9.999685E-01,1.432394E-05,4.937651E-06,5.619717E-06,4.778597E-06,1.849337E-06
286,post1981rota,13.36222,42.09444,9.999936E-01,4.721420E-06,5.470263E-07,5.362077E-07,4.667947E-07,1.395455E-07
76,pre1919rota,13.38500,41.96611,9.999667E-01,1.505645E-05,5.205691E-06,5.941851E-06,5.081298E-06,1.993132E-06
254,post1981rota,13.38500,41.96611,9.999932E-01,4.998742E-06,5.818223E-07,5.716672E-07,4.999303E-07,1.509757E-07
109,pre1919rota,13.39472,42.10889,9.999582E-01,1.859585E-05,6.501994E-06,7.498692E-06,6.537356E-06,2.669024E-06
287,post1981rota,13.39472,42.10889,9.999913E-01,6.330987E-06,7.481635E-07,7.406137E-07,6.566254E-07,2.039543E-07
104,pre1919rota,13.39917,42.35250,9.999954E-01,2.309514E-06,7.411153E-07,7.884837E-07,5.887517E-07,1.714362E-07
282,post1981rota,13.39917,42.35250,9.999992E-01,6.571181E-07,6.897734E-08,6.435232E-08,5.106209E-08,1.253949E-08
73,pre1919rota,13.41167,41.94111,9.999645E-01,1.598230E-05,5.538957E-06,6.336071E-06,5.440450E-06,2.152226E-06
251,post1981rota,13.41167,41.94111,9.999927E-01,5.334025E-06,6.228418E-07,6.129385E-07,5.375882E-07,1.633338E-07
91,pre1919rota,13.42444,41.91444,9.999694E-01,1.396181E-05,4.798708E-06,5.446620E-06,4.607560E-06,1.764324E-06
269,post1981rota,13.42444,41.91444,9.999938E-01,4.572276E-06,5.276385E-07,5.161923E-07,4.477656E-07,1.329028E-07
62,pre1919rota,13.42750,42.03528,9.999298E-01,2.959251E-05,1.069735E-05,1.272606E-05,1.176183E-05,5.447973E-06
240,post1981rota,13.42750,42.03528,9.999846E-01,1.092527E-05,1.353581E-06,1.371823E-06,1.270529E-06,4.324826E-07
112,pre1919rota,13.45806,41.86528,9.999782E-01,1.019695E-05,3.444055E-06,3.845409E-06,3.152391E-06,1.127161E-06
290,post1981rota,13.45806,41.86528,9.999957E-01,3.213565E-06,3.618630E-07,3.496944E-07,2.964519E-07,8.381552E-08
106,pre1919rota,13.47028,41.96083,9.999286E-01,3.014567E-05,1.088659E-05,1.293793E-05,1.193195E-05,5.497017E-06
284,post1981rota,13.47028,41.96083,9.999844E-01,1.109587E-05,1.372241E-06,1.389414E-06,1.284472E-06,4.354871E-07
89,pre1919rota,13.47278,41.88667,9.999688E-01,1.429265E-05,4.908067E-06,5.565552E-06,4.698742E-06,1.790017E-06
267,post1981rota,13.47278,41.88667,9.999937E-01,4.669243E-06,5.379671E-07,5.258468E-07,4.553767E-07,1.346502E-07
114,pre1919rota,13.47556,42.28667,9.999848E-01,7.230154E-06,2.415431E-06,2.669615E-06,2.146576E-06,7.358698E-07
292,post1981rota,13.47556,42.28667,9.999970E-01,2.227371E-06,2.470854E-07,2.369985E-07,1.981212E-07,5.436997E-08
133,pre1919rota,13.48889,42.23667,9.999692E-01,1.402359E-05,4.832402E-06,5.498424E-06,4.673690E-06,1.808378E-06
311,post1981rota,13.48889,42.23667,9.999937E-01,4.620037E-06,5.351419E-07,5.245128E-07,4.565704E-07,1.364985E-07
99,pre1919rota,13.48917,42.29417,9.999852E-01,7.035016E-06,2.347656E-06,2.592037E-06,2.080096E-06,7.100571E-07
277,post1981rota,13.48917,42.29417,9.999971E-01,2.162360E-06,2.395134E-07,2.295637E-07,1.916380E-07,5.243660E-08
119,pre1919rota,13.51472,42.13583,9.998890E-01,4.414520E-05,1.651203E-05,2.026372E-05,1.981947E-05,1.032024E-05
297,post1981rota,13.51472,42.13583,9.999744E-01,1.777010E-05,2.305932E-06,2.390399E-06,2.306811E-06,8.538251E-07
134,pre1919rota,13.52278,42.20611,9.999444E-01,2.403787E-05,8.557430E-06,1.003690E-05,9.033888E-06,3.953947E-06
312,post1981rota,13.52278,42.20611,9.999881E-01,8.545769E-06,1.036209E-06,1.039025E-06,9.435252E-07,3.082717E-07
144,pre1919rota,13.52417,41.83444,9.999791E-01,9.826912E-06,3.310995E-06,3.688300E-06,3.010070E-06,1.065652E-06
322,post1981rota,13.52417,41.83444,9.999959E-01,3.080596E-06,3.456915E-07,3.334851E-07,2.817858E-07,7.911567E-08
154,pre1919rota,13.54056,41.96028,9.998821E-01,4.674468E-05,1.751557E-05,2.152468E-05,2.109337E-05,1.100395E-05
332,post1981rota,13.54056,41.96028,9.999728E-01,1.887832E-05,2.453124E-06,2.544298E-06,2.457087E-06,9.101060E-07
87,pre1919rota,13.54778,42.08583,9.998025E-01,7.027613E-05,2.788213E-05,3.607633E-05,3.877624E-05,2.449179E-05
265,post1981rota,13.54778,42.08583,9.999497E-01,3.325001E-05,4.664527E-06,5.020994E-06,5.185338E-06,2.200291E-06
63,pre1919rota,13.56139,41.81083,9.999818E-01,8.615757E-06,2.889332E-06,3.204620E-06,2.593941E-06,9.023997E-07
241,post1981rota,13.56139,41.81083,9.999964E-01,2.674922E-06,2.982770E-07,2.868445E-07,2.409671E-07,6.683393E-08
94,pre1919rota,13.58389,41.88750,9.999416E-01,2.532392E-05,8.996917E-06,1.052929E-05,9.431828E-06,4.075373E-06
272,post1981rota,13.58389,41.88750,9.999876E-01,8.945350E-06,1.080286E-06,1.080852E-06,9.772803E-07,3.161569E-07
59,pre1919rota,13.59139,42.08194,9.997467E-01,8.451128E-05,3.462378E-05,4.607462E-05,5.197584E-05,3.611781E-05
237,post1981rota,13.59139,42.08194,9.999319E-01,4.383086E-05,6.396926E-06,7.016027E-06,7.489661E-06,3.392293E-06
88,pre1919rota,13.60194,42.06639,9.997280E-01,8.906997E-05,3.684280E-05,4.942583E-05,5.650300E-05,4.021297E-05
266,post1981rota,13.60194,42.06639,9.999257E-01,4.743521E-05,6.995802E-06,7.709574E-06,8.297335E-06,3.814716E-06
56,pre1919rota,13.61583,41.71944,9.999940E-01,3.000212E-06,9.693638E-07,1.038104E-06,7.852403E-07,2.353789E-07
234,post1981rota,13.61583,41.71944,9.999989E-01,8.648769E-07,9.164570E-08,8.590873E-08,6.878326E-08,1.722110E-08
137,pre1919rota,13.62444,42.00667,9.997435E-01,8.577765E-05,3.513086E-05,4.671756E-05,5.259563E-05,3.627334E-05
315,post1981rota,13.62444,42.00667,9.999312E-01,4.432704E-05,6.455342E-06,7.070978E-06,7.528199E-06,3.386770E-06
