Model_used	lon	lat	
ModelMultiFaultsTest	13.02644721820809082	42.52894501445086917	
ModelMultiFaultsTest	13.27425935693641534	42.40916914739884902	
ModelMultiFaultsTest	13.44566275289017376	42.34308591040462488	
ModelMultiFaultsTest	13.61706614884393041	42.19646372832369963	
ModelMultiFaultsTest	13.76575343208092583	42.0684274566473988	
ModelMultiFaultsTest	14.00324006502890306	41.84126632947976532	
ModelMultiFaultsTest	13.95161253612716834	41.77311799132947812	
ModelMultiFaultsTest	13.8896595014450881	41.65540722543352814	
ModelMultiFaultsTest	12.9954707008670507	42.30178388728323569	
ModelMultiFaultsTest	13.02644721820809082	42.52894501445086917	
ModelSingleFaultsTest	13.02644721820809082	42.52894501445086917	
ModelSingleFaultsTest	13.27425935693641534	42.40916914739884902	
ModelSingleFaultsTest	13.44566275289017376	42.34308591040462488	
ModelSingleFaultsTest	13.61706614884393041	42.19646372832369963	
ModelSingleFaultsTest	13.76575343208092583	42.0684274566473988	
ModelSingleFaultsTest	14.00324006502890306	41.84126632947976532	
ModelSingleFaultsTest	13.95161253612716834	41.77311799132947812	
ModelSingleFaultsTest	13.8896595014450881	41.65540722543352814	
ModelSingleFaultsTest	12.9954707008670507	42.30178388728323569	
ModelSingleFaultsTest	13.02644721820809082	42.52894501445086917
