#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, kind='rlz-111', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,1.310279E-05,1.165631E-05,9.795100E-06,7.681587E-06,5.562696E-06,3.686481E-06,2.218534E-06,1.203258E-06,5.822528E-07,2.461816E-07,8.520210E-08,1.692522E-08,2.368678E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,1.292837E-05,1.141905E-05,9.510739E-06,7.381198E-06,5.282898E-06,3.456584E-06,2.051830E-06,1.096528E-06,5.218926E-07,2.160137E-07,7.187128E-08,1.171498E-08,1.632657E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,1.362490E-05,1.239416E-05,1.071394E-05,8.690155E-06,6.538867E-06,4.519909E-06,2.846458E-06,1.620922E-06,8.276198E-07,3.735490E-07,1.436450E-07,4.063900E-08,5.672848E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,1.266092E-05,1.106308E-05,9.093251E-06,6.949552E-06,4.889319E-06,3.139956E-06,1.826984E-06,9.555201E-07,4.437585E-07,1.777419E-07,5.529257E-08,8.401716E-09,7.285962E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,1.384294E-05,1.271657E-05,1.113385E-05,9.172002E-06,7.026177E-06,4.954415E-06,3.188158E-06,1.858017E-06,9.728316E-07,4.520836E-07,1.811657E-07,5.648041E-08,7.848712E-09,5.237877E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,1.243349E-05,1.076726E-05,8.754159E-06,6.606862E-06,4.583848E-06,2.899672E-06,1.660114E-06,8.531550E-07,3.882627E-07,1.511399E-07,4.401253E-08,6.752550E-09,1.216337E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,1.280135E-05,1.124884E-05,9.309786E-06,7.172064E-06,5.090970E-06,3.301194E-06,1.940788E-06,1.026459E-06,4.828298E-07,1.967654E-07,6.348426E-08,9.592276E-09,1.173635E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,1.360364E-05,1.236321E-05,1.067426E-05,8.645334E-06,6.494246E-06,4.480743E-06,2.816135E-06,1.600207E-06,8.151279E-07,3.668964E-07,1.405149E-07,3.933740E-08,5.493094E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,1.284383E-05,1.130553E-05,9.376437E-06,7.241144E-06,5.154107E-06,3.352104E-06,1.977022E-06,1.049232E-06,4.954750E-07,2.029719E-07,6.617805E-08,9.982600E-09,1.320707E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,1.407907E-05,1.307722E-05,1.161898E-05,9.746879E-06,7.626485E-06,5.506998E-06,3.636691E-06,2.179179E-06,1.175765E-06,5.652827E-07,2.369304E-07,8.074979E-08,1.503431E-08,1.762601E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.14611,42.21056,0.00000,1.442885E-05,1.363846E-05,1.241212E-05,1.073434E-05,8.709842E-06,6.554669E-06,4.530025E-06,2.851041E-06,1.621593E-06,8.263938E-07,3.719514E-07,1.424147E-07,3.991554E-08,5.010977E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.20750,42.10306,0.00000,1.493930E-05,1.454557E-05,1.383374E-05,1.269955E-05,1.110655E-05,9.133949E-06,6.979949E-06,4.905394E-06,3.142721E-06,1.821168E-06,9.466635E-07,4.358009E-07,1.722837E-07,5.223124E-08,5.950869E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.23556,42.19444,0.00000,1.481244E-05,1.430627E-05,1.343638E-05,1.211867E-05,1.035883E-05,8.286296E-06,6.133468E-06,4.160604E-06,2.565196E-06,1.426409E-06,7.087455E-07,3.093372E-07,1.129834E-07,2.769524E-08,2.983295E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.25167,42.07028,0.00000,1.508266E-05,1.483450E-05,1.434642E-05,1.350057E-05,1.220877E-05,1.046986E-05,8.406384E-06,6.247453E-06,4.255526E-06,2.634527E-06,1.470807E-06,7.336628E-07,3.215860E-07,1.182541E-07,2.967874E-08,2.783180E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
