#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-22T17:25:54', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999996E-01,1.819928E-07,6.737834E-08,8.166464E-08,7.750472E-08,3.657829E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,7.002478E-08,8.830468E-09,9.004084E-09,8.397243E-09,2.849675E-09
26,pre1919rota,12.98694,42.32417,9.999996E-01,1.767537E-07,6.519355E-08,7.874880E-08,7.427954E-08,3.462521E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,6.737920E-08,8.455345E-09,8.601240E-09,7.987472E-09,2.687843E-09
43,pre1919rota,13.02028,42.24056,9.999995E-01,2.083166E-07,7.859095E-08,9.689160E-08,9.484823E-08,4.778300E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,8.413183E-08,1.088129E-08,1.123359E-08,1.071707E-08,3.812158E-09
21,pre1919rota,13.02306,42.39472,9.999996E-01,1.677795E-07,6.148578E-08,7.383756E-08,6.891391E-08,3.145315E-08
199,post1981rota,13.02306,42.39472,9.999999E-01,6.295596E-08,7.834370E-09,7.937489E-09,7.317932E-09,2.427910E-09
31,pre1919rota,13.04611,42.22750,9.999994E-01,2.215120E-07,8.437038E-08,1.049136E-07,1.042993E-07,5.423360E-08
209,post1981rota,13.04611,42.22750,9.999999E-01,9.172324E-08,1.201275E-08,1.247719E-08,1.203479E-08,4.376258E-09
32,pre1919rota,13.05556,42.45222,9.999996E-01,1.582655E-07,5.760197E-08,6.874284E-08,6.343242E-08,2.829089E-08
210,post1981rota,13.05556,42.45222,9.999999E-01,5.840168E-08,7.202222E-09,7.265154E-09,6.645303E-09,2.170399E-09
18,pre1919rota,13.05972,42.40750,9.999996E-01,1.733677E-07,6.378948E-08,7.688354E-08,7.223232E-08,3.340611E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,6.569540E-08,8.218155E-09,8.347335E-09,7.730727E-09,2.587758E-09
37,pre1919rota,13.06861,42.29611,9.999995E-01,2.115732E-07,8.000700E-08,9.884602E-08,9.713082E-08,4.931895E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,8.597080E-08,1.115363E-08,1.153208E-08,1.103188E-08,3.945843E-09
14,pre1919rota,13.07944,42.41806,9.999996E-01,1.749081E-07,6.442745E-08,7.773023E-08,7.316019E-08,3.395731E-08
192,post1981rota,13.07944,42.41806,9.999999E-01,6.645912E-08,8.325618E-09,8.462313E-09,7.846897E-09,2.632981E-09
27,pre1919rota,13.12639,42.26611,9.999993E-01,2.433900E-07,9.421019E-08,1.188538E-07,1.212430E-07,6.639100E-08
205,post1981rota,13.12639,42.26611,9.999998E-01,1.052001E-07,1.406728E-08,1.475773E-08,1.449096E-08,5.457381E-09
36,pre1919rota,13.14611,42.21056,9.999993E-01,2.698638E-07,1.065945E-07,1.369293E-07,1.442432E-07,8.445213E-08
214,post1981rota,13.14611,42.21056,9.999998E-01,1.233669E-07,1.693946E-08,1.800113E-08,1.809381E-08,7.150756E-09
141,pre1919rota,13.20750,42.10306,9.999990E-01,3.315010E-07,1.382153E-07,1.862493E-07,2.133646E-07,1.483770E-07
319,post1981rota,13.20750,42.10306,9.999997E-01,1.775178E-07,2.610882E-08,2.867838E-08,3.058875E-08,1.362774E-08
17,pre1919rota,13.23556,42.19444,9.999990E-01,3.179782E-07,1.308489E-07,1.742957E-07,1.956872E-07,1.305254E-07
195,post1981rota,13.23556,42.19444,9.999998E-01,1.636555E-07,2.367471E-08,2.579793E-08,2.712455E-08,1.173552E-08
151,pre1919rota,13.25167,42.07028,9.999988E-01,3.610251E-07,1.556474E-07,2.159971E-07,2.603724E-07,2.010968E-07
329,post1981rota,13.25167,42.07028,9.999996E-01,2.146479E-07,3.290772E-08,3.687382E-08,4.075341E-08,1.950294E-08
147,pre1919rota,13.25583,42.37417,9.999993E-01,2.410847E-07,9.315730E-08,1.173448E-07,1.193767E-07,6.501497E-08
325,post1981rota,13.25583,42.37417,9.999998E-01,1.037229E-07,1.383929E-08,1.450330E-08,1.421452E-08,5.333897E-09
79,pre1919rota,13.28306,42.00667,9.999986E-01,3.805942E-07,1.689912E-07,2.406405E-07,3.032406E-07,2.570229E-07
257,post1981rota,13.28306,42.00667,9.999996E-01,2.492161E-07,3.961215E-08,4.516541E-08,5.149681E-08,2.627419E-08
153,pre1919rota,13.30194,42.29056,9.999991E-01,3.013418E-07,1.221598E-07,1.605829E-07,1.761663E-07,1.120196E-07
331,post1981rota,13.30194,42.29056,9.999998E-01,1.483742E-07,2.105945E-08,2.273835E-08,2.351572E-08,9.835700E-09
84,pre1919rota,13.33528,41.98917,9.999985E-01,3.966176E-07,1.831373E-07,2.698539E-07,3.605503E-07,3.459182E-07
262,post1981rota,13.33528,41.98917,9.999995E-01,2.971470E-07,4.950936E-08,5.774739E-08,6.856806E-08,3.802746E-08
107,pre1919rota,13.33917,42.29194,9.999990E-01,3.130134E-07,1.282166E-07,1.700996E-07,1.896305E-07,1.246399E-07
285,post1981rota,13.33917,42.29194,9.999998E-01,1.589106E-07,2.285463E-08,2.483418E-08,2.597872E-08,1.112228E-08
148,pre1919rota,13.34278,42.06639,9.999985E-01,3.953785E-07,1.817531E-07,2.667747E-07,3.540767E-07,3.349068E-07
326,post1981rota,13.34278,42.06639,9.999995E-01,2.916006E-07,4.832688E-08,5.622292E-08,6.645039E-08,3.649959E-08
108,pre1919rota,13.36222,42.09444,9.999985E-01,3.959778E-07,1.824092E-07,2.682259E-07,3.571123E-07,3.400371E-07
286,post1981rota,13.36222,42.09444,9.999995E-01,2.941966E-07,4.887914E-08,5.693421E-08,6.743691E-08,3.720930E-08
76,pre1919rota,13.38500,41.96611,9.999983E-01,4.011344E-07,1.917024E-07,2.910768E-07,4.093242E-07,4.385672E-07
254,post1981rota,13.38500,41.96611,9.999994E-01,3.403914E-07,5.907389E-08,7.027575E-08,8.643323E-08,5.155398E-08
109,pre1919rota,13.39472,42.10889,9.999983E-01,3.998465E-07,1.876356E-07,2.804069E-07,3.837718E-07,3.877455E-07
287,post1981rota,13.39472,42.10889,9.999995E-01,3.173855E-07,5.390830E-08,6.346605E-08,7.662177E-08,4.398646E-08
104,pre1919rota,13.39917,42.35250,9.999992E-01,2.897471E-07,1.163054E-07,1.515555E-07,1.637295E-07,1.009323E-07
282,post1981rota,13.39917,42.35250,9.999998E-01,1.386504E-07,1.943512E-08,2.085950E-08,2.134422E-08,8.742317E-09
73,pre1919rota,13.41167,41.94111,9.999983E-01,4.010724E-07,1.925386E-07,2.934983E-07,4.155003E-07,4.516382E-07
251,post1981rota,13.41167,41.94111,9.999994E-01,3.460749E-07,6.037626E-08,7.200696E-08,8.895995E-08,5.354348E-08
91,pre1919rota,13.42444,41.91444,9.999983E-01,4.006474E-07,1.893613E-07,2.847575E-07,3.938966E-07,4.072312E-07
269,post1981rota,13.42444,41.91444,9.999994E-01,3.263993E-07,5.591084E-08,6.609395E-08,8.037989E-08,4.684577E-08
62,pre1919rota,13.42750,42.03528,9.999980E-01,3.939377E-07,1.969429E-07,3.110189E-07,4.674827E-07,5.766435E-07
240,post1981rota,13.42750,42.03528,9.999993E-01,3.963318E-07,7.237028E-08,8.820982E-08,1.131943E-07,7.334163E-08
112,pre1919rota,13.45806,41.86528,9.999985E-01,3.927218E-07,1.790659E-07,2.609674E-07,3.421840E-07,3.153526E-07
290,post1981rota,13.45806,41.86528,9.999995E-01,2.815075E-07,4.619995E-08,5.349467E-08,6.269185E-08,3.382880E-08
106,pre1919rota,13.47028,41.96083,9.999980E-01,3.888503E-07,1.971467E-07,3.151774E-07,4.836468E-07,6.234707E-07
284,post1981rota,13.47028,41.96083,9.999992E-01,4.132912E-07,7.664507E-08,9.411331E-08,1.223326E-07,8.125561E-08
89,pre1919rota,13.47278,41.88667,9.999984E-01,3.995836E-07,1.871740E-07,2.792768E-07,3.811995E-07,3.829216E-07
267,post1981rota,13.47278,41.88667,9.999995E-01,3.151149E-07,5.340812E-08,6.281206E-08,7.569206E-08,4.328674E-08
114,pre1919rota,13.47556,42.28667,9.999989E-01,3.486797E-07,1.480820E-07,2.028055E-07,2.389598E-07,1.760710E-07
292,post1981rota,13.47556,42.28667,9.999997E-01,1.976648E-07,2.974695E-08,3.303650E-08,3.593673E-08,1.665462E-08
133,pre1919rota,13.48889,42.23667,9.999986E-01,3.811232E-07,1.693881E-07,2.414076E-07,3.046445E-07,2.589913E-07
311,post1981rota,13.48889,42.23667,9.999996E-01,2.503633E-07,3.984073E-08,4.545142E-08,5.187454E-08,2.652050E-08
99,pre1919rota,13.48917,42.29417,9.999989E-01,3.452086E-07,1.460339E-07,1.993124E-07,2.334459E-07,1.699145E-07
277,post1981rota,13.48917,42.29417,9.999997E-01,1.933140E-07,2.895128E-08,3.207814E-08,3.475011E-08,1.597244E-08
119,pre1919rota,13.51472,42.13583,9.999980E-01,3.942017E-07,1.969090E-07,3.107371E-07,4.664795E-07,5.738895E-07
297,post1981rota,13.51472,42.13583,9.999993E-01,3.953050E-07,7.211540E-08,8.785999E-08,1.126579E-07,7.288462E-08
134,pre1919rota,13.52278,42.20611,9.999985E-01,3.964171E-07,1.829057E-07,2.693339E-07,3.594485E-07,3.440251E-07
312,post1981rota,13.52278,42.20611,9.999995E-01,2.962002E-07,4.930682E-08,5.748588E-08,6.820392E-08,3.776356E-08
144,pre1919rota,13.52417,41.83444,9.999986E-01,3.888381E-07,1.755568E-07,2.536623E-07,3.277461E-07,2.927571E-07
322,post1981rota,13.52417,41.83444,9.999995E-01,2.694106E-07,4.369367E-08,5.030405E-08,5.835277E-08,3.082724E-08
