#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-22T17:25:54', checksum=1954410440, kind='rlz-093', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,3.035197E-06,2.820736E-06,2.506147E-06,2.100035E-06,1.638651E-06,1.177340E-06,7.714228E-07,4.570862E-07,2.428648E-07,1.143838E-07,4.656988E-08,1.507079E-08,2.195098E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,3.018825E-06,2.795171E-06,2.471063E-06,2.057720E-06,1.593797E-06,1.135556E-06,7.372128E-07,4.324706E-07,2.272985E-07,1.057325E-07,4.234425E-08,1.325686E-08,1.510759E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,3.104753E-06,2.933252E-06,2.666156E-06,2.300075E-06,1.858506E-06,1.389763E-06,9.518541E-07,5.918174E-07,3.313089E-07,1.654243E-07,7.246432E-08,2.661974E-08,6.723265E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,2.988494E-06,2.748601E-06,2.408223E-06,1.983194E-06,1.516118E-06,1.064397E-06,6.799218E-07,3.919318E-07,2.020877E-07,9.195315E-08,3.572508E-08,1.046234E-08,4.738530E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,3.132771E-06,2.980709E-06,2.736804E-06,2.392513E-06,1.964808E-06,1.497207E-06,1.047301E-06,6.663402E-07,3.824491E-07,1.962690E-07,8.881528E-08,3.423792E-08,9.842909E-09,2.471052E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,2.952842E-06,2.695066E-06,2.337570E-06,1.901244E-06,1.432576E-06,9.895467E-07,6.209817E-07,3.511409E-07,1.772765E-07,7.868945E-08,2.949328E-08,7.889012E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,3.007734E-06,2.778027E-06,2.447773E-06,2.029913E-06,1.564620E-06,1.108649E-06,7.154064E-07,4.169387E-07,2.175759E-07,1.003838E-07,3.975817E-08,1.215799E-08,1.100400E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,3.112048E-06,2.945473E-06,2.684151E-06,2.323362E-06,1.884989E-06,1.416233E-06,9.751046E-07,6.097661E-07,3.434863E-07,1.726852E-07,7.626916E-08,2.837201E-08,7.432484E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,3.012831E-06,2.785888E-06,2.458430E-06,2.042610E-06,1.577913E-06,1.120881E-06,7.252982E-07,4.239689E-07,2.219669E-07,1.027942E-07,4.092101E-08,1.265101E-08,1.284106E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,3.171151E-06,3.048293E-06,2.841417E-06,2.534852E-06,2.135049E-06,1.676187E-06,1.212705E-06,8.007053E-07,4.783953E-07,2.564929E-07,1.220437E-07,5.035371E-08,1.671348E-08,2.821848E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
