#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-22T17:25:54', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999996E-01,1.857115E-07,6.048500E-08,6.523290E-08,4.999119E-08,1.543167E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,5.428878E-08,5.811573E-09,5.475393E-09,4.426113E-09,1.132072E-09
26,pre1919rota,12.98694,42.32417,9.999996E-01,1.693885E-07,5.498653E-08,5.912258E-08,4.504977E-08,1.373849E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,4.921725E-08,5.246257E-09,4.932384E-09,3.971540E-09,1.007384E-09
43,pre1919rota,13.02028,42.24056,9.999995E-01,2.486295E-07,8.192244E-08,8.930818E-08,6.984242E-08,2.248975E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,7.429191E-08,8.073401E-09,7.662898E-09,6.279965E-09,1.652695E-09
21,pre1919rota,13.02306,42.39472,9.999997E-01,1.474284E-07,4.762212E-08,5.097343E-08,3.851723E-08,1.155496E-08
199,post1981rota,13.02306,42.39472,9.999999E-01,4.246402E-08,4.498992E-09,4.217448E-09,3.377821E-09,8.477304E-10
31,pre1919rota,13.04611,42.22750,9.999994E-01,2.846168E-07,9.432624E-08,1.033840E-07,8.166851E-08,2.684503E-08
209,post1981rota,13.04611,42.22750,9.999999E-01,8.600126E-08,9.416152E-09,8.970214E-09,7.401115E-09,1.974807E-09
32,pre1919rota,13.05556,42.45222,9.999998E-01,1.318102E-07,4.241929E-08,4.525111E-08,3.398004E-08,1.006748E-08
210,post1981rota,13.05556,42.45222,9.999999E-01,3.772074E-08,3.978243E-09,3.721056E-09,2.968241E-09,7.388792E-10
18,pre1919rota,13.05972,42.40750,9.999997E-01,1.572161E-07,5.089986E-08,5.459590E-08,4.141445E-08,1.251889E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,4.546597E-08,4.830588E-09,4.534431E-09,3.640654E-09,9.181863E-10
37,pre1919rota,13.06861,42.29611,9.999995E-01,2.446911E-07,8.057179E-08,8.778262E-08,6.857174E-08,2.202932E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,7.302398E-08,7.928922E-09,7.522658E-09,6.160339E-09,1.618664E-09
14,pre1919rota,13.07944,42.41806,9.999997E-01,1.605558E-07,5.201986E-08,5.583516E-08,4.240754E-08,1.285031E-08
192,post1981rota,13.07944,42.41806,9.999999E-01,4.649267E-08,4.944163E-09,4.643071E-09,3.730833E-09,9.424055E-10
27,pre1919rota,13.12639,42.26611,9.999993E-01,3.325405E-07,1.109907E-07,1.224443E-07,9.790627E-08,3.297416E-08
