id,lon,lat,taxonomy,number
266,13.60194,42.06639,post1981rota,1
267,13.47278,41.88667,post1981rota,1
268,13.9425,41.76722,post1981rota,1
269,13.42444,41.91444,post1981rota,1
270,13.77639,42.03167,post1981rota,1
271,13.62694,42.06194,post1981rota,1
272,13.58389,41.8875,post1981rota,1
277,13.48917,42.29417,post1981rota,1
279,13.69389,41.95556,post1981rota,1
282,13.39917,42.3525,post1981rota,1
283,13.68722,41.93583,post1981rota,1
284,13.47028,41.96083,post1981rota,1
285,13.33917,42.29194,post1981rota,1
286,13.36222,42.09444,post1981rota,1
287,13.39472,42.10889,post1981rota,1
290,13.45806,41.86528,post1981rota,1
292,13.47556,42.28667,post1981rota,1
294,13.83028,41.7825,post1981rota,1
295,13.72861,41.99889,post1981rota,1
296,13.645,41.95583,post1981rota,1
297,13.51472,42.13583,post1981rota,1
299,13.78944,41.81111,post1981rota,1
300,13.66333,42.02806,post1981rota,1
311,13.48889,42.23667,post1981rota,1
312,13.52278,42.20611,post1981rota,1
315,13.62444,42.00667,post1981rota,1
319,13.2075,42.10306,post1981rota,1
322,13.52417,41.83444,post1981rota,1
323,13.88278,41.90472,post1981rota,1
325,13.25583,42.37417,post1981rota,1
326,13.34278,42.06639,post1981rota,1
329,13.25167,42.07028,post1981rota,1
331,13.30194,42.29056,post1981rota,1
332,13.54056,41.96028,post1981rota,1
333,13.83722,41.93694,post1981rota,1
336,13.62556,41.86806,post1981rota,1
337,13.93556,41.77778,post1981rota,1
